k	MeanDistance	WCSS	AIC	BIC
1	4.35890	760.0000	800.0000	833.2712
2	3.36120	451.9053	531.9053	598.4478
3	2.79306	312.0472	432.0472	531.8609
4	2.53638	257.3289	417.3289	550.4138
5	2.30064	211.7180	411.7180	578.0742
6	2.08286	173.5325	413.5325	613.1599
7	1.90208	144.7171	424.7171	657.6157
8	1.76038	123.9570	443.9570	710.1269
9	1.65105	109.0392	469.0392	768.4803
10	1.56098	97.4663	497.4663	830.1786
11	1.49699	89.6391	529.6391	895.6226
12	1.42012	80.6695	560.6695	959.9243
13	1.36039	74.0263	594.0263	1026.5523
14	1.26388	63.8960	623.8960	1089.6933
15	1.26388	63.8960	663.8960	1162.9645
