k	MeanDistance	WCSS	AIC	BIC
1	4.43787	2580.0000	2620.0000	2677.3507
2	3.48857	1594.2814	1674.2814	1788.9828
3	3.18704	1330.5949	1450.5949	1622.6469
4	2.94026	1132.5120	1292.5120	1521.9147
5	2.69999	954.9834	1154.9834	1441.7369
6	2.58361	874.4281	1114.4281	1458.5322
7	2.46471	795.8002	1075.8002	1477.2550
8	2.35032	723.6439	1043.6439	1502.4495
9	2.25770	667.7373	1027.7373	1543.8935
10	2.17157	617.7568	1017.7568	1591.2637
11	2.08520	569.5979	1009.5979	1640.4555
12	2.01503	531.9053	1011.9053	1700.1136
13	1.96872	507.7385	1027.7385	1773.2974
14	1.91815	481.9885	1041.9885	1844.8982
15	1.87113	458.6482	1058.6482	1918.9085
