k	MeanDistance	WCSS	AIC	BIC
1	4.42326	1800.0000	1840.0000	1890.2172
2	3.41274	1071.5044	1151.5044	1251.9388
3	3.00614	831.3924	951.3924	1102.0440
4	2.81658	729.8450	889.8450	1090.7138
5	2.61961	631.3347	831.3347	1082.4207
6	2.43571	545.8078	785.8078	1087.1109
7	2.30903	490.5086	770.5086	1122.0289
8	2.18583	439.5616	759.5616	1161.2991
9	2.08065	398.2773	758.2773	1210.2320
10	2.00716	370.6397	770.6397	1272.8116
11	1.95083	350.1295	790.1295	1342.5186
12	1.90550	334.0447	814.0447	1416.6510
13	1.85409	316.2643	836.2643	1489.0877
14	1.82757	307.2796	867.2796	1570.3202
15	1.78955	294.6274	894.6274	1647.8853
